origin,dest,count
0,365,7
0,1395,9
0,1529,6
0,1530,6
0,1531,6
2,162,8
2,163,8
2,837,15
2,923,23
2,924,23
2,1038,13
2,1227,21
2,1363,8
2,1364,8
2,1365,8
2,1529,21
2,1530,21
2,1531,21
2,1608,6
2,2201,7
2,2270,9
2,2279,6
2,2280,6
2,2915,9
2,3367,12
2,3368,12
2,3449,8
2,3450,8
2,3451,8
2,3531,57
2,3532,57
2,3533,57
2,3875,6
2,3876,6
2,4010,10
2,4011,10
2,4311,6
2,4396,8
2,4397,8
2,4408,6
2,4600,11
2,4601,11
7,1933,8
12,17,12
12,18,12
12,19,12
12,70,6
12,96,9
12,154,17
12,414,13
12,415,13
12,591,22
12,592,22
12,593,22
12,594,22
12,744,7
12,837,26
12,887,28
12,923,76
12,924,76
12,955,13
12,968,6
12,969,6
12,1038,55
12,1088,19
12,1089,19
12,1090,19
12,1091,19
12,1114,8
12,1115,8
12,1116,8
12,1135,38
12,1167,25
12,1187,18
12,1227,28
12,1293,9
12,1294,9
12,1357,12
12,1360,12
12,1363,15
12,1364,15
12,1365,15
12,1444,7
12,1446,21
12,1451,20
12,1484,10
12,1485,10
12,1486,10
12,1529,80
12,1530,80
12,1531,80
12,1535,18
12,1536,18
12,1605,10
12,1608,23
12,1672,29
12,1694,6
12,1736,6
12,1737,6
12,1738,6
12,1781,10
12,1782,10
12,1795,13
12,1796,13
12,1857,13
12,1858,13
12,1859,13
12,1889,20
12,1958,7
12,1959,7
12,2189,20
12,2270,17
12,2279,6
12,2280,6
12,2281,10
12,2351,6
12,2352,6
12,2354,7
12,2411,16
12,2517,16
12,2518,16
12,2548,35
12,2549,35
12,2551,8
12,2552,8
12,2577,12
12,2596,13
12,2597,13
12,3059,6
12,3066,6
12,3093,14
12,3101,10
12,3102,10
12,3215,7
12,3216,7
12,3235,18
12,3236,18
12,3271,18
12,3280,6
12,3288,17
12,3290,8
12,3291,8
12,3293,8
12,3294,8
12,3295,8
12,3296,8
12,3357,12
12,3370,6
12,3420,20
12,3421,20
12,3442,35
12,3471,26
12,3507,17
12,3527,18
12,3531,13
12,3532,13
12,3533,13
12,3578,24
12,3594,14
12,3614,8
12,3627,58
12,3643,7
12,3650,13
12,3678,42
12,3705,6
12,3749,18
12,3750,18
12,3757,13
12,3760,8
12,3761,8
12,3827,10
12,3841,18
12,3941,18
12,3970,7
12,3996,6
12,3997,6
12,4010,70
12,4011,70
12,4013,33
12,4014,33
12,4017,9
12,4018,9
12,4197,8
12,4198,8
12,4199,8
12,4206,10
12,4207,10
12,4216,19
12,4311,20
12,4394,13
12,4395,13
12,4396,13
12,4397,13
12,4405,7
12,4406,7
12,4449,22
12,4475,18
12,4476,18
12,4487,25
12,4488,25
12,4489,25
12,4539,12
12,4551,10
12,4552,10
12,4561,16
12,4562,16
12,4614,22
13,14,831
13,96,35
13,143,9
13,261,6
13,324,26
13,325,26
13,326,26
13,354,10
13,355,10
13,440,13
13,441,13
13,591,6
13,592,6
13,593,6
13,594,6
13,744,27
13,767,7
13,837,38
13,923,92
13,924,92
13,968,14
13,969,14
13,1038,10
13,1088,25
13,1089,25
13,1090,25
13,1091,25
13,1135,13
13,1171,10
13,1185,7
13,1186,7
13,1213,8
13,1227,26
13,1275,12
13,1293,12
13,1294,12
13,1363,15
13,1364,15
13,1365,15
13,1446,13
13,1451,6
13,1459,9
13,1460,9
13,1529,133
13,1530,133
13,1531,133
13,1535,21
13,1536,21
13,1546,6
13,1605,9
13,1607,9
13,1608,17
13,1618,13
13,1623,16
13,1698,6
13,1760,12
13,1761,12
13,1781,8
13,1782,8
13,1784,56
13,1853,13
13,1866,6
13,1867,6
13,1870,6
